Time,Temperature,PV power,Solar radiation,Wind power,Wind speed
14-06-2022 00:00,12.34,0,0.0,0,4.63
14-06-2022 01:00,13.34,0,0.0,0,6.17
14-06-2022 02:00,13.34,0,0.0,0,7.72
14-06-2022 03:00,12.34,0,0.0,0,7.72
14-06-2022 04:00,12.34,0,0.0,0,7.72
14-06-2022 05:00,12.34,0,0.0,0,8.75
14-06-2022 06:00,12.34,0,23.0,0,7.72
14-06-2022 07:00,12.34,0,62.0,0,7.72
14-06-2022 08:00,13.34,0,131.0,0,8.23
14-06-2022 09:00,12.34,0,133.0,0,8.23
14-06-2022 10:00,13.34,0,201.0,0,7.72
14-06-2022 11:00,13.34,0,267.0,0,7.72
14-06-2022 12:00,13.34,0,311.0,0,7.2
14-06-2022 13:00,14.34,0,329.0,0,7.2
14-06-2022 14:00,14.34,0,313.0,0,8.23
14-06-2022 15:00,15.34,0,431.0,0,9.26
14-06-2022 16:00,15.34,0,327.0,0,8.75
14-06-2022 17:00,15.34,0,218.00000000000003,0,7.2
14-06-2022 18:00,15.34,0,145.0,0,6.69
14-06-2022 19:00,14.34,0,68.0,0,5.66
14-06-2022 20:00,14.34,0,26.0,0,6.17
14-06-2022 21:00,14.34,0,0.0,0,5.14
14-06-2022 22:00,13.34,0,0.0,0,4.63
14-06-2022 23:00,13.34,0,0.0,0,3.6
