Time,Temperature,Wind power,Wind speed
18-03-2022 17:00,6.15,0,5.7
18-03-2022 18:00,5.86,0,6.32
18-03-2022 19:00,5.43,0,6.77
18-03-2022 20:00,4.85,0,6.68
18-03-2022 21:00,4.2,0,6.6
18-03-2022 22:00,3.88,0,6.14
18-03-2022 23:00,3.65,0,6.15
19-03-2022 00:00,3.48,0,5.99
19-03-2022 01:00,3.33,0,5.85
19-03-2022 02:00,3.18,0,6.07
19-03-2022 03:00,3.06,0,6.28
19-03-2022 04:00,3.04,0,6.22
19-03-2022 05:00,3.07,0,6.39
19-03-2022 06:00,3.14,0,6.64
19-03-2022 07:00,3.51,0,6.82
19-03-2022 08:00,3.72,0,7.21
19-03-2022 09:00,3.9,0,6.86
19-03-2022 10:00,4.14,0,6.57
19-03-2022 11:00,4.32,0,6.46
19-03-2022 12:00,4.37,0,6.39
19-03-2022 13:00,4.29,0,6.49
19-03-2022 14:00,4.12,0,6.59
19-03-2022 15:00,3.89,0,6.5
19-03-2022 16:00,3.61,0,6.34
19-03-2022 17:00,3.23,0,6.08
19-03-2022 18:00,3.14,0,6.2
19-03-2022 19:00,3.2,0,6.26
19-03-2022 20:00,3.29,0,6.52
19-03-2022 21:00,3.39,0,6.88
19-03-2022 22:00,3.44,0,6.99
19-03-2022 23:00,3.36,0,6.67
20-03-2022 00:00,3.29,0,6.21
20-03-2022 01:00,3.19,0,5.67
20-03-2022 02:00,3.12,0,5.35
20-03-2022 03:00,3.05,0,5.13
20-03-2022 04:00,2.97,0,5.04
20-03-2022 05:00,2.89,0,4.8
20-03-2022 06:00,3.01,0,4.79
20-03-2022 07:00,3.54,0,5.09
20-03-2022 08:00,3.98,0,5.6
20-03-2022 09:00,4.17,0,5.8
20-03-2022 10:00,4.29,0,5.88
20-03-2022 11:00,4.29,0,5.94
20-03-2022 12:00,4.42,0,6.25
20-03-2022 13:00,4.54,0,6.28
20-03-2022 14:00,4.62,0,6.39
