Time,Temperature,Wind power,Wind speed
18-03-2022 17:00,6.15,,5.7
18-03-2022 18:00,5.86,,6.32
18-03-2022 19:00,5.43,,6.77
18-03-2022 20:00,4.85,,6.68
18-03-2022 21:00,4.2,,6.6
18-03-2022 22:00,3.88,,6.14
18-03-2022 23:00,3.65,,6.15
19-03-2022 00:00,3.48,,5.99
19-03-2022 01:00,3.33,,5.85
19-03-2022 02:00,3.18,,6.07
19-03-2022 03:00,3.06,,6.28
19-03-2022 04:00,3.04,,6.22
19-03-2022 05:00,3.07,,6.39
19-03-2022 06:00,3.14,,6.64
19-03-2022 07:00,3.51,,6.82
19-03-2022 08:00,3.72,,7.21
19-03-2022 09:00,3.9,,6.86
19-03-2022 10:00,4.14,,6.57
19-03-2022 11:00,4.32,,6.46
19-03-2022 12:00,4.37,,6.39
19-03-2022 13:00,4.29,,6.49
19-03-2022 14:00,4.12,,6.59
19-03-2022 15:00,3.89,,6.5
19-03-2022 16:00,3.61,,6.34
19-03-2022 17:00,3.23,,6.08
19-03-2022 18:00,3.14,,6.2
19-03-2022 19:00,3.2,,6.26
19-03-2022 20:00,3.29,,6.52
19-03-2022 21:00,3.39,,6.88
19-03-2022 22:00,3.44,,6.99
19-03-2022 23:00,3.36,,6.67
20-03-2022 00:00,3.29,,6.21
20-03-2022 01:00,3.19,,5.67
20-03-2022 02:00,3.12,,5.35
20-03-2022 03:00,3.05,,5.13
20-03-2022 04:00,2.97,,5.04
20-03-2022 05:00,2.89,,4.8
20-03-2022 06:00,3.01,,4.79
20-03-2022 07:00,3.54,,5.09
20-03-2022 08:00,3.98,,5.6
20-03-2022 09:00,4.17,,5.8
20-03-2022 10:00,4.29,,5.88
20-03-2022 11:00,4.29,,5.94
20-03-2022 12:00,4.42,,6.25
20-03-2022 13:00,4.54,,6.28
20-03-2022 14:00,4.62,,6.39
