Time,future,past
24-03-2022 00:00,-0.66,-0.66
24-03-2022 01:00,-0.66,-0.66
24-03-2022 02:00,-2.66,-2.66
24-03-2022 03:00,-1.66,-1.66
24-03-2022 04:00,-1.66,-1.66
24-03-2022 05:00,-1.66,-1.66
24-03-2022 06:00,-0.66,-0.66
24-03-2022 07:00,3.34,3.34
24-03-2022 08:00,6.34,6.34
24-03-2022 09:00,7.34,7.34
24-03-2022 10:00,6.34,6.34
24-03-2022 11:00,7.34,7.34
24-03-2022 12:00,6.34,6.34
24-03-2022 13:00,6.34,6.34
24-03-2022 14:00,5.34,5.34
24-03-2022 15:00,6.34,6.34
24-03-2022 16:00,6.34,6.34
24-03-2022 17:00,5.34,5.34
24-03-2022 18:00,5.34,5.34
24-03-2022 19:00,5.34,5.34
24-03-2022 20:00,5.34,5.34
24-03-2022 21:00,5.34,5.34
24-03-2022 22:00,2.34,2.34
24-03-2022 23:00,0.34,0.34
25-03-2022 00:00,1.34,1.34
25-03-2022 01:00,0.34,0.34
25-03-2022 02:00,2.34,2.34
25-03-2022 03:00,2.34,2.34
25-03-2022 04:00,0.34,0.34
25-03-2022 05:00,3.34,3.34
25-03-2022 06:00,4.34,4.34
25-03-2022 07:00,5.34,5.34
25-03-2022 08:00,5.34,5.34
25-03-2022 09:00,6.34,6.34
25-03-2022 10:00,6.34,6.34
25-03-2022 11:00,6.34,6.34
25-03-2022 12:00,7.34,7.34
25-03-2022 13:00,7.34,7.34
25-03-2022 14:00,7.34,7.34
25-03-2022 15:00,7.34,7.34
25-03-2022 16:00,7.34,7.34
25-03-2022 17:00,7.25,7.34
25-03-2022 18:00,7.11,6.34
25-03-2022 19:00,7.06,6.34
25-03-2022 20:00,6.95,6.34
25-03-2022 21:00,6.6,5.34
25-03-2022 22:00,6.41,6.34
25-03-2022 23:00,6.19,6.34
26-03-2022 00:00,5.93,6.34
26-03-2022 01:00,5.78,6.34
26-03-2022 02:00,5.75,6.34
26-03-2022 03:00,5.76,5.34
26-03-2022 04:00,5.93,5.34
26-03-2022 05:00,5.9,5.34
26-03-2022 06:00,5.88,6.34
26-03-2022 07:00,5.87,6.34
26-03-2022 08:00,6.09,7.34
26-03-2022 09:00,6.65,7.34
26-03-2022 10:00,7.13,8.34
26-03-2022 11:00,7.58,9.34
26-03-2022 12:00,7.73,9.34
26-03-2022 13:00,8.7,7.34
26-03-2022 14:00,8.73,7.34
26-03-2022 15:00,7.0,7.34
26-03-2022 16:00,6.28,7.34
26-03-2022 17:00,5.1,6.34
26-03-2022 18:00,5.45,4.34
26-03-2022 19:00,4.94,2.34
26-03-2022 20:00,4.53,1.34
26-03-2022 21:00,3.72,-0.66
26-03-2022 22:00,3.98,1.34
26-03-2022 23:00,3.78,2.34
27-03-2022 00:00,3.35,1.34
27-03-2022 01:00,3.57,1.34
27-03-2022 02:00,3.41,2.34
27-03-2022 03:00,3.21,2.34
27-03-2022 04:00,3.25,0.34
27-03-2022 05:00,3.3,0.34
27-03-2022 06:00,3.56,3.34
27-03-2022 07:00,4.21,4.34
27-03-2022 08:00,4.64,3.34
27-03-2022 09:00,4.85,3.34
27-03-2022 10:00,5.14,3.34
27-03-2022 11:00,4.39,3.34
27-03-2022 12:00,5.42,4.34
27-03-2022 13:00,5.61,6.34
27-03-2022 14:00,6.24,6.34
27-03-2022 15:00,6.0,6.34
27-03-2022 16:00,5.8,6.34
27-03-2022 17:00,5.67,5.34
27-03-2022 18:00,5.65,5.34
27-03-2022 19:00,6.17,5.34
27-03-2022 20:00,6.15,5.34
27-03-2022 21:00,6.2,5.34
27-03-2022 22:00,6.02,5.34
27-03-2022 23:00,5.5,5.34
28-03-2022 00:00,5.28,4.34
28-03-2022 01:00,5.14,4.34
28-03-2022 02:00,5.0,4.34
28-03-2022 03:00,4.92,4.34
28-03-2022 04:00,4.86,4.34
28-03-2022 05:00,4.9,4.34
28-03-2022 06:00,5.06,4.34
28-03-2022 07:00,5.27,4.34
28-03-2022 08:00,5.69,4.34
28-03-2022 09:00,5.89,5.34
28-03-2022 10:00,5.92,5.34
28-03-2022 11:00,6.56,6.34
28-03-2022 12:00,6.27,6.34
28-03-2022 13:00,6.32,6.34
28-03-2022 14:00,6.98,6.34
28-03-2022 15:00,6.88,6.34
28-03-2022 16:00,6.5,6.34
28-03-2022 17:00,6.3,5.34
28-03-2022 18:00,6.3,5.34
28-03-2022 19:00,6.04,5.34
28-03-2022 20:00,5.71,5.34
28-03-2022 21:00,5.33,5.34
28-03-2022 22:00,4.78,4.34
28-03-2022 23:00,4.49,4.34
29-03-2022 00:00,4.14,4.34
29-03-2022 01:00,3.83,4.34
29-03-2022 02:00,3.66,3.34
29-03-2022 03:00,3.26,3.34
29-03-2022 04:00,3.38,2.34
29-03-2022 05:00,3.58,1.34
29-03-2022 06:00,3.8,0.34
29-03-2022 07:00,4.01,3.34
29-03-2022 08:00,4.18,4.34
29-03-2022 09:00,4.14,4.34
29-03-2022 10:00,4.21,4.34
29-03-2022 11:00,4.41,5.34
29-03-2022 12:00,4.21,4.34
29-03-2022 13:00,4.1,4.34
29-03-2022 14:00,3.26,4.34
29-03-2022 15:00,3.93,4.34
29-03-2022 16:00,3.15,4.34
29-03-2022 17:00,3.49,3.34
29-03-2022 18:00,3.17,4.34
29-03-2022 19:00,3.09,4.34
29-03-2022 20:00,2.8,2.34
29-03-2022 21:00,2.62,1.34
29-03-2022 22:00,2.21,1.34
29-03-2022 23:00,2.07,0.34
30-03-2022 00:00,2.21,0.34
30-03-2022 01:00,2.33,0.34
30-03-2022 02:00,2.01,-0.66
30-03-2022 03:00,1.85,-0.66
30-03-2022 04:00,1.79,-0.66
30-03-2022 05:00,1.56,-0.66
30-03-2022 06:00,1.28,-0.66
30-03-2022 07:00,1.24,1.34
30-03-2022 08:00,0.98,1.34
30-03-2022 09:00,0.59,2.34
30-03-2022 10:00,0.8,0.34
30-03-2022 11:00,1.34,1.34
30-03-2022 12:00,2.34,2.34
30-03-2022 13:00,2.34,2.34
30-03-2022 14:00,2.34,2.34
30-03-2022 15:00,2.34,2.34
30-03-2022 16:00,1.34,1.34
30-03-2022 17:00,0.34,0.34
30-03-2022 18:00,-0.66,-0.66
30-03-2022 19:00,-1.66,-1.66
30-03-2022 20:00,-1.66,-1.66
30-03-2022 21:00,-2.66,-2.66
30-03-2022 22:00,-2.66,-2.66
30-03-2022 23:00,-2.66,-2.66
31-03-2022 00:00,-2.66,-2.66
31-03-2022 01:00,-2.66,-2.66
31-03-2022 02:00,-2.66,-2.66
31-03-2022 03:00,-2.66,-2.66
31-03-2022 04:00,-2.66,-2.66
31-03-2022 05:00,-2.66,-2.66
31-03-2022 06:00,-0.66,-0.66
31-03-2022 07:00,1.34,1.34
31-03-2022 08:00,2.34,2.34
31-03-2022 09:00,2.34,2.34
31-03-2022 10:00,3.34,3.34
31-03-2022 11:00,3.34,3.34
31-03-2022 12:00,3.34,3.34
31-03-2022 13:00,3.34,3.34
31-03-2022 14:00,3.34,3.34
31-03-2022 15:00,3.34,3.34
31-03-2022 16:00,2.34,2.34
31-03-2022 17:00,1.34,1.34
31-03-2022 18:00,0.34,0.34
31-03-2022 19:00,-0.66,-0.66
31-03-2022 20:00,-1.66,-1.66
31-03-2022 21:00,-0.66,-0.66
31-03-2022 22:00,-1.66,-1.66
31-03-2022 23:00,-0.66,-0.66
01-04-2022 00:00,-0.66,-0.66
01-04-2022 01:00,-0.66,-0.66
01-04-2022 02:00,-0.66,-0.66
01-04-2022 03:00,-0.66,-0.66
01-04-2022 04:00,-0.66,-0.66
01-04-2022 05:00,-0.66,-0.66
01-04-2022 06:00,1.34,1.34
01-04-2022 07:00,2.34,2.34
01-04-2022 08:00,2.34,2.34
