Time,Temperature,PV power,Solar radiation,Wind power,Wind speed
27-03-2022 00:00,1.34,0,0.0,0,3.09
27-03-2022 01:00,1.34,0,0.0,0,2.06
27-03-2022 02:00,2.34,0,0.0,0,2.06
27-03-2022 03:00,2.34,0,0.0,0,2.06
27-03-2022 04:00,0.34,0,0.0,0,3.09
27-03-2022 05:00,0.34,0,0.0,0,3.09
27-03-2022 06:00,3.34,0,23.0,0,3.09
27-03-2022 07:00,4.34,0,65.0,0,2.06
27-03-2022 08:00,3.34,0,126.0,0,2.06
27-03-2022 09:00,3.34,0,196.0,0,1.03
27-03-2022 10:00,3.34,0,250.0,0,1.54
27-03-2022 11:00,3.34,0,272.0,0,1.54
27-03-2022 12:00,4.34,0,252.0,0,2.06
27-03-2022 13:00,6.34,0,198.0,0,3.09
